"date","covid_cases_total","covid_cases_new","covid_cases_per100K","covid_cases_7day","hover_text_case","copies_day_person_M_mn","copies_day_person_M_se","hover_text_load","mutation","variant","frequency","frequency_gapfill","frequency_7day","hover_text_variant"
2020-01-22,0,NA,NA,NA,"Jan 22, 2020<br><b>NaN</b> cases per 100,000 people",NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-23,0,0,0,0,"Jan 23, 2020<br><b>0</b> cases per 100,000 people",NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-24,0,0,0,0,"Jan 24, 2020<br><b>0</b> cases per 100,000 people",NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-25,0,0,0,0,"Jan 25, 2020<br><b>0</b> cases per 100,000 people",NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-26,0,0,0,0,"Jan 26, 2020<br><b>0</b> cases per 100,000 people",NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-27,0,0,0,0,"Jan 27, 2020<br><b>0</b> cases per 100,000 people",NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-28,0,0,0,0,"Jan 28, 2020<br><b>0</b> cases per 100,000 people",NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-29,0,0,0,0,"Jan 29, 2020<br><b>0</b> cases per 100,000 people",NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-30,0,0,0,0,"Jan 30, 2020<br><b>0</b> cases per 100,000 people",NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-31,0,0,0,0,"Jan 31, 2020<br><b>0</b> cases per 100,000 people",NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-02-01,0,0,0,0,"Feb 01, 2020<br><b>0</b> cases per 100,000 people",NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-02-02,0,0,0,0,"Feb 02, 2020<br><b>0</b> cases per 100,000 people",NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-02-03,0,0,0,0,"Feb 03, 2020<br><b>0</b> cases per 100,000 people",NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-02-04,0,0,0,0,"Feb 04, 2020<br><b>0</b> cases per 100,000 people",NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-02-05,0,0,0,0,"Feb 05, 2020<br><b>0</b> cases per 100,000 people",NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-02-06,0,0,0,0,"Feb 06, 2020<br><b>0</b> cases per 100,000 people",NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-02-07,0,0,0,0,"Feb 07, 2020<br><b>0</b> cases per 100,000 people",NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-02-08,0,0,0,0,"Feb 08, 2020<br><b>0</b> cases per 100,000 people",NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-02-09,0,0,0,0,"Feb 09, 2020<br><b>0</b> cases per 100,000 people",NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-02-10,0,0,0,0,"Feb 10, 2020<br><b>0</b> cases per 100,000 people",NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-02-11,0,0,0,0,"Feb 11, 2020<br><b>0</b> cases per 100,000 people",NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-02-12,0,0,0,0,"Feb 12, 2020<br><b>0</b> cases per 100,000 people",NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-02-13,0,0,0,0,"Feb 13, 2020<br><b>0</b> cases per 100,000 people",NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-02-14,0,0,0,0,"Feb 14, 2020<br><b>0</b> cases per 100,000 people",NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-02-15,0,0,0,0,"Feb 15, 2020<br><b>0</b> cases per 100,000 people",NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-02-16,0,0,0,0,"Feb 16, 2020<br><b>0</b> cases per 100,000 people",NA,NA,NA,NA,NA,NA,NA,NA,NA
